Konjiki No Moji Tsukai - Yuusha Yonin Ni Makikomareta Unique Cheat || Viewed: Chapter 103  
Nageki no Bourei wa Intai Shitai - Saijiyaku Hanta ni Yoru Saikiyou Patei Ikusei Jutsu || Viewed: Chapter 36  
Player Who Returned 10,000 Years Later || Viewed: Chapter 107  
Auto Hunting With My Clones || Viewed: Chapter 122  
I Was Reincarnated On An Island Where The Strongest Species Live So I Will Enjoy A Peaceful Life On This Island || Viewed: Chapter 16  
The Wrong Way To Use Healing Magic || Viewed: Chapter 75  
Arifureta Shokugyou De Sekai Saikyou || Viewed: Chapter 74  
The Little Girl Raised By Death Hold The Sword Of Death Tight || Viewed: Chapter 43  
Isekai De Mizu No Dai Seirei Yattemasu || Viewed: Chapter 16  
Noble Reincarnation ~Blessed With the Strongest Power From Birth~ || Viewed: Chapter 4  
The Heavenly Demon Can't Live A Normal Life || Viewed: Chapter 114  
Necromancer's Evolutionary Traits || Viewed: Chapter 43  
I Became A Legend After My 10 Year-Long Last Stand || Viewed: Chapter 28  
The Player That Can't Level Up || Viewed: Chapter 152  
I'll Become A Villainess That Will Go Down In History ― The More Of A Villainess I Become, The More The Prince Will Dote On Me || Viewed: Chapter 25.2  
Shijou Saikyou Orc-San No Tanoshii Tanetsuke Harem Zukuri || Viewed: Chapter 112  
The Legendary Weapon Became My Bride When I Overwhelmed The Production Job || Viewed: Chapter 13  
I’M A D-Rank Adventurer, For Some Reason I Got Recruited Into A Hero Party, And Now The Princess Is Stalking Me || Viewed: Chapter 25  
The Best Noble In Another World: The Bigger My Harem Gets, The Stronger I Become || Viewed: Chapter 24  
Reincarnated As The Mastermind Of The Story || Viewed: Chapter 25  
Maseki Gurume: Mamono No Chikara O Tabeta Ore Wa Saikyou! || Viewed: Chapter 53  
Otome Game No Mobu Desura Naindaga || Viewed: Chapter 22.5  
Become the Lord of Cthulhu || Viewed: Chapter 50  
Kamisama Ni Kago 2 Nin Bun Moraimashita || Viewed: Chapter 12  
Isekai Yururi Kikou: Raising Children While Being an Adventurer || Viewed: Chapter 50  
The Child Loved By God || Viewed: Chapter 23  
